over,short_text,long_text
8.5,"Narine to Mandeep, 1 run","seam-up knuckle ball, chipped off the outside edge, over the bowler's head"
8.4,"Narine to Mandeep, no run","offbreak, slow, and stays low, and takes the inside edge onto the pad"
8.3,"Narine to Gayle, 1 run","slow length ball, outside off, he opens the face, gets a single as the diving slip deflects this into a gap"
8.2,"Narine to Mandeep, 1 run","into the pads, worked to leg for one"
8.1,"Narine to Mandeep, no run","flighted outside off, pushed to cover"
7.6,"Varun to Rahul, OUT","given out lbw, and Rahul is not using the review. And I think this is missing leg, but I will wait for the replays to prove me wrong. Looks like the skiddy wrong'un from around off, and the sharp quick turn beats him. Umpire Illingworth raises the finger, but the question is: is it turning too much? We will have to wait for the end of the timeout for the answer. Umpire's call on the leg stump"
7.5,"Varun to Rahul, no run","on a length, outside off, this time the cut goes straight to point"
7.4,"Varun to Rahul, FOUR runs","too short, wide, and he goes back to cut it square of deep cover. Delays the cut to get this placement"
7.3,"Varun to Rahul, no run","short of a length, quicker, punched down the ground, but not wide enough of Varun to his right"
7.2,"Varun to Mandeep, 1 run","legcutter, driven in the air, just to the left of Varun, who is not quick enough to thrust a hand out"
7.1,"Varun to Rahul, 1 run","on a length, around off, goes with the angle. Pushed to leg for one"
6.6,"Narine to Rahul, 1 run",another away-swinger. Looks like that knuckle-ball seam-up floater. Gets a bottom edge on it. Single to short third man
6.5,"Narine to Rahul, 2 runs","offbreak, middle and leg, pushed deep into the leg side for two"
6.4,"Narine to Mandeep, 1 run","short of a length, pulled into the leg side"
6.3,"Narine to Mandeep, no run",yes this is swing and not turn. Again it dips and swings. Pushed to short cover. It is a carrom ball bowled with the seam up
6.2,"Narine to Rahul, 1 run","slight swing away from Rahul, driven to deep cover. Seam-up this time. Perhaps the last one was too"
6.1,"Narine to Rahul, no run","carrom ball, outside off, beats his cut"
5.6,"Varun to Rahul, 1 run","wrong'un, on a length, into the pads, pushed wide of mid-on for one"
5.5,"Varun to Rahul, no run","on a length, outside off, hit off the toe end to cover-point"
5.4,"Varun to Mandeep, 1 run","full and straight, pushed down to long-on for one"
5.3,"Varun to Mandeep, no run","quicker, fuller, on off, pushed to short cover again"
5.2,"Varun to Mandeep, no run","on a length, just outside off, Singh goes deep to punch this to short cover"
5.1,"Varun to Mandeep, no run","legcutter, on a length, punched to cover-point"
4.6,"Cummins to Rahul, no run","slower ball, on a length, outside off, punched to backward point"
4.5,"Cummins to Mandeep, 1 run","short of a length, short-arm pull to deep square for one"
4.4,"Cummins to Mandeep, FOUR runs","on a length, straight, and he swipes across its line. Not a clean hit but clears midwicket in the circle, and that is all you need in the first six overs"
4.3,"Cummins to Mandeep, 2 runs","Has Tripathi manufactured a run-out here? Singh has got back in by a frame. Pushes this short-of-a-length ball to deep point, Tripathi charges at it from deep cover, picks up one-handed and throws in the same motion. Singh is struggling, but he just about makes it"
4.2,"Cummins to Mandeep, no run","low full toss, around leg, dug out to short cover"
4.1,"Cummins to Mandeep, SIX runs","Mandeep gets going. He is waiting for this length. Short of a length, around off, and he stays in the crease to pull this over midwicket"
3.6,"Prasidh to Mandeep, 1 run","on a length, outside off, pushed wide of mid-off for one"
3.5,"Prasidh to Rahul, 1 run","short of a length, outside off, dropped towards point for one"
3.4,"Prasidh to Rahul, no run","extra bounce. Rahul shuffles across early, and then backs away. Kirshna goes short of a length, and the loopy bounce beats him cut"
3.3,"Prasidh to Rahul, no run","short of a length, straight, runs off the thick outside edge to point"
3.2,"Prasidh to Rahul, FOUR runs","low full toss, 143ks, on off. Knocking practice. Drives this straight of mid-off for four"
3.1,"Prasidh to Rahul, FOUR runs","Rahul takes charge. Stays back to a length ball, moves to off, and lofts him over wide mid-on. Not the cleanest of strikes but enough in it to go away for four"
2.6,"Cummins to Mandeep, no run","short of a length, wide, cut straight to cover-point again"
2.5,"Cummins to Rahul, 1 run","short of a length, just outside off, drops this wide of cover for one"
2.4,"Cummins to Mandeep, 1 run","tries the big swing down the line, gets too far under it, but the mis-hit clears mid-off. Just about"
2.3,"Cummins to Mandeep, no run","full, just outside off, he makes room to drive, but can't beat cover-point"
2.2,"Cummins to Mandeep, no run",looks for the pull to a wide short ball at 146ks. Well just short of a length and not a long hop. Beats the pull on the bottom edge
2.1,"Cummins to Mandeep, no run","on a length, aiming top of off. Singh defends this back to him"
1.6,"Prasidh to Rahul, 2 runs","lovely shot. All hands and strong wrists. This shortish ball gets big on him, but he goes through with the back-foot drive. To the right of cover-point. Nagarkoti's chase and dive saves two runs for KKR. Well he saves one, and casual running saves the other"
1.5,"Prasidh to Mandeep, 1 run","on a length, outside off, not much power in this drive. A single wide of mid-off"
1.4,"Prasidh to Mandeep, no run","nearly played on. He looks to open the face on this, but it jabs back a little to take the bottom edge. His feet save him from getting bowled"
1.3,"Prasidh to Mandeep, no run","wide length ball, driven on the up, but can't beat cover-point"
1.2,"Prasidh to Mandeep, no run","short of a length, 141ks, outside off, pushed to cover"
1.1,"Prasidh to Rahul, 1 run","short of a length, straight, punched wide of mid-on for one"
0.6,"Cummins to Mandeep, no run","length ball, outside off, hits him high on the bat as Singh defends"
0.5,"Cummins to Rahul, 1 run","short of a length, at off, runs off the thick edge to third man for one"
0.4,"Cummins to Rahul, no run","short of a length, outside off, punched to point"
0.3,"Cummins to Rahul, no run",beaten on the outside edge This length ball seams away despite a wobbly seam
0.2,"Cummins to Rahul, no run","full, just outside off, pushed to mid-off"
0.1,"Cummins to Rahul, FOUR runs","some excitement first ball, but it fizzles out soon. Rahul has steered this to third man. It nearly carries all the way, but then Krishna lets it slide through his legs"
19.6,"Jordan to Prasidh, no run","beats him with a yorker, but it does my head in why they don't try to run the bye. Really strange they won't keep running till they are run out"
19.5,"Jordan to Varun, OUT",looks to ramp it instead of looking to take the single to hand over the strike to Ferguson. Jordan beats him and uproots the leg stump
19.4,"Jordan to Ferguson, 1 run","full and straight, doesn't let him get under it, driven to long-on just for the one"
19.3,"Jordan to Varun, 1 run","really full again, dug out wide of long-on, but they take just the one"
19.2,"Jordan to Varun, 2 leg byes","length ball, angling in, cramping him up for room. Varun gets two leg-byes fine of fine leg"
19.1,"Jordan to Ferguson, 1 run",gets the yorker almost right. No way Ferguson is getting under the low full toss. Just the single to long-off
18.6,"Shami to Ferguson, 1 leg bye","short of a length, into the ribs, they get a leg-bye"
18.5,"Shami to Ferguson, SIX runs","Ferguson sends a question mark to Gill. Why did you deny me the strike? Makes room, and takes this full ball and sends it over extra cover for a six"
18.4,"Shami to Varun, 1 run","full toss, middle and leg, pushed towards wide mid-off for one"
18.3,"Shami to Gill, OUT","low full toss, right in the hitting slot, but he hits this straight to deep midwicket. Just a chip instead of a full-blooded slog. Perhaps Shami denied him any slogging room by following him"
18.2,"Shami to Gill, no run","makes room, Shami follows him with a full and straight delivery. He hits this straight to long-on, and turns down the single"
18.1,"Shami to Ferguson, 1 run","oh right in the sweet hitting slot, but Ferguson doesn't get all of it. Just the single to long-on"
17.6,"Jordan to Ferguson, 1 run","low full toss again, down the leg side, dug out to deep midwicket for one. They have missed out on three straight full tosses"
17.5,"Jordan to Gill, 1 run","another low full toss, and he ends up hitting this straight to deep backward square leg for one"
17.4,"Jordan to Gill, no run","full toss, hits his pad, on the full, Jordan appeals big time, but this is headed down leg. Gill has just moved too far across to take toll of this full toss"
17.3,"Jordan to Ferguson, 1 run","yorker almost, middle and leg, dug out down to long-on for one"
17.2,"Jordan to Ferguson, FOUR runs","short, wide, on-pace, and he flays at it. Upper-cuts it over point for four more"
17.1,"Jordan to Ferguson, FOUR runs","this ball is relief. Full, outside off, with mid-off up. And on-pace. Driven wide of mid-off and along the ground"
16.6,"Ashwin to Gill, FOUR runs","classy shot. Ashwin stays wide with his legbreak,s but pitches this up this time, and he is down on his back knee to loft thim over extra cover"
16.5,"Ashwin to Ferguson, 1 run","full, on the pads, clipped away to deep midwicket"
16.4,"Ashwin to Ferguson, FOUR runs","wrong'un, quick and on a length, so Ferguson opens the face late to guide this past slip for four"
16.3,"Ashwin to Gill, 1 run","another wide legbreak, and there is some turn on it. Mis-hit straight of cover, and he will take the one now"
16.2,"Ashwin to Gill, no run",looks for the reverse sweep to this wide legbreak. Beaten
16.1,"Ashwin to Gill, no run","wide legbreak, punched straight to extra cover"
15.6,"Ravi Bishnoi to Ferguson, no run","sweeps this from well outside off, and Gill has now turned down the single. He wants strike at the start of the next over"
15.5,"Ravi Bishnoi to Ferguson, no run","down the wicket first ball, Bishnoi bowls a wide legbreak, and he is lucky to get a bit of an inside edge"
15.4,"Ravi Bishnoi to Cummins, OUT","this is a straighter wrong'un, and he gets his man. Cummins wants to review, but they don't have a review left. This googly starts just outside off, and it is closer than the last one, but it is still headed down leg"
15.3,"Ravi Bishnoi to Cummins, no run","another wrong'un, beats him comprehensively this time, but this is sliding down leg. Not given. But he has convinced his captain to go for the review. Replays show it is missing leg"
15.2,"Ravi Bishnoi to Cummins, no run","wrong'un this time, worked to leg"
15.1,"Ravi Bishnoi to Cummins, no run","short of a length, outside off, he plays for the turn, gets an inside edge onto the pad"
14.6,"Ashwin to Cummins, 1 run","wrong'un, from outside off, he gets an inside edge on it for one"
14.5,"Ashwin to Cummins, no run",another tentative push back to him
14.4,"Ashwin to Cummins, no run","flighted just outside off, defended"
14.3,"Ashwin to Cummins, no run","quick, flat legbreak, Cummins is tentative as he pushes at it from deep inside the crease. Just gets an outside edge, past slip"
14.2,"Ashwin to Nagarkoti,, OUT","that ends a tortured stay for Nagarkoti. And it is torture when you are not picking legspinners. Misses another wrong'un as he looks for a big cover drive, and this turns back enough to hit the wicket"
14.1,"Ashwin to Nagarkoti,, no run","full, slow, just outside off, thick edge back to him"
13.6,"Ravi Bishnoi to Gill, no run","full, outside off, driven to extra cover"
13.5,"Ravi Bishnoi to Gill, 2 runs","flat, into the pads, placed wide of deep midwicket. That is a fifty for Gill. Good to seem him back with form and intent"
13.4,"Ravi Bishnoi to Nagarkoti,, 1 run",chipped back over his head. Unconvincing shot again
13.3,"Ravi Bishnoi to Nagarkoti,, 2 runs","slow, full, down leg, runs off the inside half of the bat fine on the leg side for a couple"
13.2,"Ravi Bishnoi to Gill, 1 run","on a length, on off, turns away, punched to deep cover for one"
13.1,"Ravi Bishnoi to Gill, no run","legbreak, just outside off, punched straight to extra cover"
12.6,"Ashwin to Nagarkoti,, no run","fails to pick the googly again. It can get really difficult if you are not picking it from the hand. Looking for a big booming drive, and then gets a thick inside edge to short fine leg"
12.5,"Ashwin to Gill, 1 run","short, slow, Gill won't get any timing into this. Just the single to long-on"
12.4,"Ashwin to Nagarkoti,, 1 run",this one has sat in the surface. Nagarkoti aborts his cut and ends up checking his shot. Just clears cover-point
12.3,"Ashwin to Nagarkoti,, no run","doesn't read the googly again, this one starts from within the stumps and hits him on the pad. Going down leg, though"
12.2,"Ashwin to Nagarkoti,, no run","wide wrong'un, comes back in a long way, he dabs on it, but can't clear slip"
12.1,"Ashwin to Nagarkoti,, no run","some turn for this legbreak, hit back to him"
11.6,"Ravi Bishnoi to Nagarkoti,, 1 run","wrong'un, he picks it, works it into the leg side for a single"
11.5,"Ravi Bishnoi to Gill, 1 run","legbreak, middle and off, turning away, pushed to long-on for one"
11.4,"Ravi Bishnoi to Nagarkoti,, 1 run",pushed to deep cover for one as he gets too full
11.3,"Ravi Bishnoi to Nagarkoti,, no run","another wrong'un, and this time he picks it and defends it off the front foot"
11.2,"Ravi Bishnoi to Nagarkoti,, no run","wrong'un outside off, and he has not picked it. The inside edge hits the pad"
11.1,"Ravi Bishnoi to Gill, 1 run","flat, length ball, punched to wide long-off"
10.6,"Jordan to Narine, OUT","slower ball, and Narine has dragged this on. Wide off cutter, on a length, Narine is looking to go over cover with his drive, but gets the toe-end of the bat onto his wicket"
10.6,"Jordan to Narine, 1 wide","shorter, higher, wide"
10.5,"Jordan to Narine, FOUR runs","cheeky. Jordan goes short and at his body, but he ramps this over the keeper's head. Just arches a little to make the room"
10.4,"Jordan to Narine, no run","short of a length, outside off, punched to point"
10.3,"Jordan to Narine, 2 runs","gets away with this. Short of a length, into the body, handcuffs him with the angle. Narine throws his bat at it, and manages to clear midwicket with this aerial hit"
10.3,"Jordan to Narine, 1 wide","looks to dig it in short, but gets it only rib high. And also down leg"
10.2,"Jordan to Gill, 1 run","slower ball, short, wide, cut away for one"
10.1,"Jordan to Gill, no run","yorker, outside off, beats him on the inside edge"
9.6,"Ravi Bishnoi to Gill, 1 run","short, wide, cut away to deep point for one"
9.5,"Ravi Bishnoi to Morgan, OUT","Bushnoi strikes. Wrong'un outside leg, Morgan goes for the aerial sweep, just that degree of spin means the connection is not the sweetest, and even on these short boundaries, that results in a catch at deep backward square leg"
9.4,"Ravi Bishnoi to Gill, 1 run","flatter, on a length, punched to long-off for one"
9.3,"Ravi Bishnoi to Gill, SIX runs","Gill just keeps clearing long-on. This is not a half-volley. Bishnoi has bowled a legbreak on length, but his reach means he can access it and go over long-on"
9.2,"Ravi Bishnoi to Morgan, 1 run","slow in the air, outside off, swept along the ground to deep midwicket for one"
9.1,"Ravi Bishnoi to Gill, 1 run","down the wicket first up, ends up dragging this to long-on for one. No turn on the ball"
8.6,"Jordan to Morgan, no run","Morgan is looking to get outside the line of off and access the leg side, but ends up playing a cover drive to this length ball. Straight to extra cover. Just the respite KXIP needed"
8.5,"Jordan to Morgan, no run","short of a length, widish, out of his reach, and quick. Beaten"
8.4,"Jordan to Gill, 1 run","slower ball, short, outside off, pulled down to long-on for one"
8.3,"Jordan to Gill, no run","wide and full, he drives at it, gets a bottom edge through to the keeper. Along the ground"
8.2,"Jordan to Gill, no run","short, wide, he looks to cut, but his back foot is stuck on the leg stump. Beaten on the cut"
8.1,"Jordan to Morgan, 1 run","Morgan is looking to charge him, and Jordan starts off with a slower ball to keep him in check. Punched to deep point"
7.6,"Ashwin to Gill, SIX runs","slog sweep. With the spin, against the spin, it doesn't matter. They are not letting the spinners bowl. Reminiscent of the Samson-Smith assault against CSK. Down on a knee to send this over wide long-on"
7.5,"Ashwin to Gill, no run","full, middle and off, dragged to short midwicket"
7.4,"Ashwin to Morgan, 1 run","slider, short, wide, cut away for one to deep point"
7.3,"Ashwin to Morgan, SIX runs",Morgan is in some mood. He is taking these short boundaries on and succeeding. This is not off the middle of the bat but has cleared long-on with ease. He skips down and just goes through it with full conviction even though he is not to the pitch of the ball
7.2,"Ashwin to Morgan, no run","flighted outside off, pushed back to the right of Ashwin"
7.1,"Ashwin to Gill, 1 run","on a length, on off, some turn, punched down to long-off for one"
6.6,"Maxwell to Morgan, SIX runs","flat low six. Maxwell bowls only slightly short, but that is enough for these small boundaries. Morgan goes over deep backward square leg. It is a skimmer"
6.5,"Maxwell to Morgan, no run","slow in the air, on a length, some turn, pushed to extra cover"
6.4,"Maxwell to Gill, 1 run","on a length, middle and off, punched down to long-on for one"
6.3,"Maxwell to Morgan, 1 run","on a length, into the pads, punched to deep midwicket"
6.2,"Maxwell to Morgan, FOUR runs","excellent batting. Top shot. Makes room, takes this from way outside leg, and drives him over extra cover for four"
6.1,"Maxwell to Morgan, no run","on a length, just outside off, pushed to cover"
5.6,"Shami to Gill, SIX runs","this is into the road. This is T20. Who cares if you have lost three early wickets? You still have seven over the next 17 overs. Shami bowls a half-volley on the pads, and he languidly clips this over wide long-on. LOvely to watch"
5.5,"Shami to Gill, SIX runs","lovely shot. Gill seemed to have turned a corner last game the way he struck the ball, and now he is showing more of it. High-arm on-the-up punch to a length ball, all the way over long-on"
5.4,"Shami to Morgan, 1 run","down the wicket, gets too close to the pitch of this ball, but sneaks in a single to mid-off"
5.3,"Shami to Morgan, FOUR runs","short of a length, no room, Morgan plays a bit of a late-cut, guiding this wide of point, using Shami's pace"
5.2,"Shami to Morgan, no run","looks to hook this bouncer, but is beaten. Looks really high to me but not called a wide"
5.1,"Shami to Morgan, FOUR runs","Morgan continues to punch back. Skips down the wicket again, turns this into a length ball and goes over mid-on"
4.6,"Arshdeep Singh to Gill, no run","on a length, angling in, hits the inside half of the bat as he drives"
4.5,"Arshdeep Singh to Gill, FOUR runs","that is dismissive. He skips down the wicket, Arshdeep digs this in short, and he pulls this through square leg. Rolls his wrists on this"
4.4,"Arshdeep Singh to Morgan, 1 run","angling in, Morgan stands his ground and flicks this to deep square for one"
4.3,"Arshdeep Singh to Morgan, FOUR runs","Morgan keeps charging at him, Arshdeep bowls a wide length ball, and he gets a thick outside edge well fine of third man who is placed square"
4.2,"Arshdeep Singh to Gill, 1 run","again extra bounce from just short of a length, but he gets a single to mid-off this time"
4.1,"Arshdeep Singh to Gill, no run","short of a length, outside off, he punches this on top of the bounce. Straight to point"
3.6,"Shami to Morgan, no run","down the wicket, creates a bit of a driving length, but ends up toe-ending this to cover-point"
3.5,"Shami to Morgan, no run","cramps him up with this shortish ball, punched straight to point this time"
3.4,"Shami to Morgan, FOUR runs","short of a length, not too wide, but he upper-cuts this over point. This one travels. Just one bounce into the fence"
3.3,"Shami to Gill, 1 run","on a length, angling into the pads, clipped away for a single to deep square leg"
3.2,"Shami to Gill, no run","half-volley on the pads, beats his attempt to flick this away. Missed out on runs here"
3.1,"Shami to Gill, no run","on a length, just outside off. Defended"
2.6,"Arshdeep Singh to Morgan, 2 runs","down the wicket, slightly early into the shot but clears midwicket with a swipe"
2.5,"Arshdeep Singh to Morgan, no run","slight shimmy down the wicket, defends this length ball outside off"
2.4,"Arshdeep Singh to Morgan, no run","length ball outside off, left alone as it holds its line"
2.3,"Arshdeep Singh to Gill, 1 run","short of a length, outside off, runs this down to third man"
2.3,"Arshdeep Singh to Gill, 1 wide","wide length ball, too wide"
2.2,"Arshdeep Singh to Gill, no run","on a length, outside off, left alone"
2.1,"Arshdeep Singh to Gill, FOUR runs","full, on the pads, clipped away square on the leg side"
1.6,"Shami to Karthik, OUT","this is even better. Too good in fact: he has been given but Karthik has reviewed it immediately. Lovely length ball, just outside off, holds its line, there is a sound as it passes his bat. Karthik contends the sound has come from his bat hitting the pad, but the Snicko shows a spike at the exact moment the ball is next to the bat. And it does also hit the pad at around the same time. So the benefit of the doubt has to go to the on-field call"
1.5,"Shami to Karthik, no run",leaves alone outside off now. It is a little Test-like
1.4,"Shami to Tripathi, OUT","Shami strikes. Test-match lines and lengths. Attacking top of off on the angle, and then leaving him after pitching. Top-quality bowling. Tripathi pushes at it with an open face, and edges it through"
1.3,"Shami to Gill, 1 run","Maxwell saves three. Push-driven on the up, straight of cover, wide of mid-off. It beats the first man, but Maxwell cuts the angle and puts in a big dive"
1.2,"Shami to Gill, no run","short of a length, skids through, hits him high on the pad after nipping in and beating his bat"
1.1,"Shami to Gill, no run","on a length, outside off, holds its line. He leaves it alone"
0.6,"Maxwell to Tripathi, no run","quicker, flatter, shorter. Defended with an open face"
0.5,"Maxwell to Tripathi, SIX runs",Tripathi takes on deep midwicket and wins. The confidence from a fresh wicket and a small ground. He slog-sweeps this just over the fence
0.4,"Maxwell to Gill, 1 run","stays on a length, on the pads, punched to wide long-on"
0.3,"Maxwell to Tripathi, 1 run","on a length, outside leg, pushed wide of short midwicket for one"
0.2,"Maxwell to Rana, OUT","Rana annihilated Ashwin the other day, but he is out first ball to a much lesser offspinner. The shot is on. This is a length ball, outside leg, both square leg and fine leg inside the circle. So the sweep is on, but all he manages is a soft top edge straight to Gayle at short fine leg"
0.1,"Maxwell to Gill, 1 run","full, outside leg, clipped to deep midwicket for one"
18.2,"Pattinson to Stokes, FOUR runs","lifts it over extra cover to seal the win. Low full toss pushed across him, reaches out and opens the face perfectly"
18.1,"Pattinson to Stokes, SIX runs","swipes it over midwicket to bring up his second IPL hundred! This is what Stokes does when he gets past 50 in the IPL - turns them into hundreds. Length ball picked up with a pristine pull shot. He's struggled to get the runs away but has been pretty close to flawless tonight. His previous century also came in chase, this is a record in the IPL"
17.6,"Boult to Samson, no run","short and wide outside off, beaten on the cut"
17.5,"Boult to Stokes, 1 run","slower short ball down leg side, pulled out to deep backward square"
17.4,"Boult to Samson, 1 run","full on the pads, flicked straight to short fine"
17.3,"Boult to Stokes, 1 run",short and just outside off. Check-pull down to long-on as that stops on him
17.2,"Boult to Stokes, no run",full and following him down leg side. Driven on the bounce to the bowler
17.1,"Boult to Samson, 1 run","low full toss outside off, driven to long-off's left"
16.6,"Bumrah to Stokes, FOUR runs","top edge over the keeper. Short and across the corridor, looks to pull along the ground and this is into the third man boundary"
16.5,"Bumrah to Stokes, no run",short and climbing across middle stump. Sways out of the way to let it go
16.4,"Bumrah to Samson, 1 run","short and wide outside off, cut to sweeper cover"
16.3,"Bumrah to Stokes, 1 run","slower short ball at leg stump, pulled into the square leg region"
16.2,"Bumrah to Stokes, 2 runs","good length outside off, allows that on ad chops to third man's left. Comes back for the second and puts in a slide to get into the nineties. It's sent upstairs for the run out but he was well in"
16.1,"Bumrah to Stokes, 2 runs","good length on leg stump, glanced to deep square's left"
15.6,"Boult to Stokes, 1 run","yorker into leg stump, flicked to deep midwicket"
15.5,"Boult to Stokes, FOUR runs",tickled fine. Yorker dipping down leg side and he helps it along off the front foot
15.4,"Boult to Stokes, 2 runs","slower ball at a length on middle stump, waits on that and nudges with soft hands to long-on's left"
15.3,"Boult to Stokes, FOUR runs",thick outside edge fine of short third man. Slower short ball rising outside off. Backs into the leg side and goes hard with the cut that he's ultimately not in control of
15.2,"Boult to Stokes, 2 runs","length and at the body, shoveled into the vacant midwicket region off the back foot"
15.1,"Boult to Stokes, 2 runs","just clears extra cover. Slower short ball outside off, waits on that for the lofted cut which comes off the toe-end. Sweeper cleans up to the left"
14.6,"Bumrah to Samson, 2 runs","short of a length outside off, allows it on and drags this to deep midwicket's left to bring up his fifty. Flexes his left bicep and gives it a pat with the bat as he acknowledges the applause from his dugout"
14.5,"Bumrah to Samson, FOUR runs",tickled fine. Attempted yorker is a low full toss heading down leg side. Stays tall and closes the face delicately on this
14.4,"Bumrah to Samson, FOUR runs","short and angled down leg side. Waits on it and caresses this with a pull, to fine leg's right. Desperate slide to the right from Pattinson after an intense sprint. Gets a hand but can't stop that rolling into the boundary"
14.3,"Bumrah to Stokes, 1 run","slower ball, short of a length and wide outside off. Cut to sweeper's right"
14.2,"Bumrah to Samson, 1 run","slower short ball just outside off, pulled to deep square"
14.1,"Bumrah to Stokes, 1 leg bye","yorker down leg side, thuds the pads as he looks to flick"
13.6,"Chahar to Samson, SIX runs","steps out and slaps it on the up over the bowler! That is an incredible shot because he's been beaten in flight but still manages to get six. It's slow and dipping at a length outside off. He's almost had to go flat-batted to clear the rope, the way you would after you step out to a fast bowler"
13.5,"Chahar to Samson, FOUR runs","chopped past point. Chahar loops this at a length, wide outside off. Usually the kind of delivery a leggie bowls when he expects the batsman to step out. Samson stays deep, gets the front foot out and gets this square drive to the fielder's left"
13.4,"Chahar to Stokes, 1 run","googly, short of a length at leg stump. Pulled to deep midwicket"
13.3,"Chahar to Stokes, SIX runs",steps out and drills it over the bowler's head. It's length and pushed through at middle stump. He's met that at the pitch and launched it off the low part of the bat
13.2,"Chahar to Samson, 1 run","full and wide outside off, loses shape as he looks to blaze this through the covers. Off the inside edge down to long-on"
13.1,"Chahar to Stokes, 1 leg bye","good length and down leg side, cops the attempted sweep on the pad"
12.6,"Pattinson to Samson, FOUR runs","deft and effective. Short and climbing in the corridor. He leaps off the ground, watches that right under his eyes and opens the face to dab this past short third man"
12.6,"Pattinson to Samson, 1 wide","slower short ball down leg side, left alone"
12.5,"Pattinson to Samson, SIX runs","a beauty from Samson! Trademark straight six against the fast bowler. It's a length ball just outside off, he's so well balanced as he swings through the line of this and lofts it over the long-off boundary. Sweet, sweet connection"
12.4,"Pattinson to Stokes, 1 run","yorker at middle stump, can't get the drive away. Single at midwicket"
12.3,"Pattinson to Stokes, no run",beaten on the ramp. Short of a length and climbing above middle stump as he drops into the off side
12.2,"Pattinson to Stokes, 2 runs","low full toss outside off, hangs deep and drills this to long-off's left. Pollard does superbly to sprint across and slide to his left, but even better to stop himself from sliding into the boundary padding"
12.1,"Pattinson to Stokes, FOUR runs","short and wide outside off, reaches out and slaps it on the up to extra cover's left"
11.6,"Chahar to Samson, no run","good length at middle stump, gets low for the ramp but is through it early. Looks like that hit the glove, after coming off the cue-end"
11.5,"Chahar to Stokes, 1 run","diagonal run up again. Googly at a length on off stump, defended into the covers"
11.4,"Chahar to Stokes, no run",beaten on the cut. Chahar goes to the diagonal run up between umpire and stumps. He's still over the wicket. Short of a length and climbing away from him
11.3,"Chahar to Samson, 1 run","short of a length outside off, punched to deep extra cover off the back foot"
11.2,"Chahar to Stokes, 1 run","short of a length outside off, punched to long-on off the back foot"
11.1,"Chahar to Stokes, no run","slides through under the bat. Googly, short of a length and spinning across the corridor as he looks to pull this over deep midwicket"
10.6,"Bumrah to Stokes, 1 leg bye",appeal for lbw turned down.
10.5,"Bumrah to Stokes, no run","full and just outside off, misitimed drive to extra cover"
10.4,"Bumrah to Samson, 1 run","good length and into leg stump, flicked to deep square"
10.3,"Bumrah to Stokes, 1 run",short of a length slower ball outside off. Chopped to sweeper cover
10.2,"Bumrah to Samson, 1 run","good length and into the body, tapped past the non-striker off the back foot"
10.2,"Bumrah to Samson, 1 wide",short and well down leg side. QDK leaps a long way to his left to gather
10.1,"Bumrah to Samson, no run","slower short ball just outside off, backs away and finds point with a well-timed cut"
9.6,"Krunal to Stokes, FOUR runs","short of a length and into leg stump, swiped with the turn and there's a mix-up between deep square and deep midwicket as they converge. Neither is sure which one has to sprint at this. In the end it's into the boundary and that is Stokes' first fifty of the season and it's come off 28 balls"
9.5,"Krunal to Stokes, FOUR runs","low full toss on leg stump, clears the front leg and pumps it between non-striker and stumps. Too quick for long-on to his right"
9.4,"Krunal to Samson, 1 run","yorker at leg stump, squeezed out to deep extra cover's right"
9.3,"Krunal to Stokes, 1 bye","another yorker, just inside the tramline. Left alone again. QDK can't gather cleanly"
9.2,"Krunal to Stokes, no run","fires a yorker ust inside the tramline, left alone"
9.1,"Krunal to Samson, 1 run","good length and just outside off, punched on the up to extra cover"
8.6,"Pollard to Samson, 1 run","good length cutter outside off, clipped to deep midwicket off the front foot"
8.6,"Pollard to Samson, 1 wide","full slower ball, spins down leg side. Left alone"
8.5,"Pollard to Stokes, 1 run","short of a length and just outside off, punched to long-off"
8.5,"Pollard to Stokes, 1 wide","full slower ball, down leg side. Rolls out to the keeper"
8.4,"Pollard to Stokes, no run","lbw appeal is turned down as Stokes gets in a tangle attempting the reverse sweep. It's a length ball from around the wicket, it's come off the glove"
8.3,"Pollard to Samson, 1 run","slower ball at a length outside off, gets a little too much bat for a second on this pat to long-on's right"
8.2,"Pollard to Samson, 2 runs","slower ball at a length on middle stump, leans in and tucks it to long-on's right"
8.1,"Pollard to Samson, SIX runs","launched over long-off! Sweet as ever. It's overpitched outside off, he hangs back to open up the exact spot he's hit it in. A clean swing with the straight bat offered"
7.6,"Chahar to Samson, 1 run","good length at middle stump, a bit late on the slog sweep. It dribbes out to deep midwicket"
7.5,"Chahar to Stokes, 1 run",good length and just outside off. Punched to extra cover's left off the back foot
7.4,"Chahar to Samson, 1 run","tossed up outside off, mistimed drive to long-on"
7.3,"Chahar to Stokes, 1 run","dropped short outside off, punched to long-off from the back foot"
7.2,"Chahar to Stokes, FOUR runs","reverse sweep past backward point. And rapidly too. Picks this full one from outside leg, is almost arching by the end of that to get it in front of his pad. The fielder can barely get a hand out to his left"
7.1,"Chahar to Stokes, SIX runs","gets the slog sweep over deep midwicket. His first six of the season. This is a length ball, pushed flat at middle stump. Gets on one knee and swings cleanly across it"
7.1,"Chahar to Stokes, 1 wide","full and down leg side, beaten on the sweep"
6.6,"Pollard to Samson, no run",short and wide slower ball outside off. Stabbed to backward point
6.5,"Pollard to Stokes, 1 run","slower ball, skidding on outside off. Short of a length. Subdued pull to long-on's left"
